date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:08	132/132	---MCZ	200	added ('OK')	text/plain	date:Tue,%2014%20Mar%202023%2017:00:03%20GMT	https://customize-portfolio.blogspot.com/robots.txt		(from )
09:47:10	374801/374801	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2017:00:03%20GMT	https://customize-portfolio.blogspot.com/	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/index.html	(from )
09:47:11	35960/35960	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202023%2012:52:52%20GMT	https://www.blogger.com/static/v1/widgets/2975350028-css_bundle_v2.css	C:/My%20Web%20Sites/portfolioblogger/www.blogger.com/static/v1/widgets/2975350028-css_bundle_v2.css	(from https://customize-portfolio.blogspot.com/)
09:47:13	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolioblogger/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://customize-portfolio.blogspot.com/)
09:47:13	7354/7354	---M-Z	200	added ('OK')	text/css	etag:%220b704046d76bb4d3929be4f7f20472f5%22	http://cdn.linearicons.com/free/1.0.0/icon-font.min.css	C:/My%20Web%20Sites/portfolioblogger/cdn.linearicons.com/free/1.0.0/icon-font.min.css	(from https://customize-portfolio.blogspot.com/)
09:47:14	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/My%20Web%20Sites/portfolioblogger/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://customize-portfolio.blogspot.com/)
09:47:15	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Tue,%2014%20Mar%202023%2017:00:03%20GMT	https://customize-portfolio.blogspot.com/favicon.ico	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/favicon.ico	(from https://customize-portfolio.blogspot.com/)
09:47:17	1528/1528	---M-Z	200	added ('OK')	application/atom+xml	date:Tue,%2014%20Mar%202023%2017:00:03%20GMT	https://customize-portfolio.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/feeds/posts/default	(from https://customize-portfolio.blogspot.com/)
09:47:19	884/884	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2014%20Mar%202023%2017:00:03%20GMT	https://customize-portfolio.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/feeds/posts/default9522	(from https://customize-portfolio.blogspot.com/)
09:47:26	189391/189391	---M--	200	added ('OK')	image/jpeg	etag:%22v10af%22	http://4.bp.blogspot.com/-cz0BYywT9k4/WgGMWiiCEDI/AAAAAAAAEK0/YeAuNhf_LOoprntp89SozkFS5BwPhbR7QCK4BGAYYCw/s1600/head-back.jpg	C:/My%20Web%20Sites/portfolioblogger/4.bp.blogspot.com/-cz0BYywT9k4/WgGMWiiCEDI/AAAAAAAAEK0/YeAuNhf_LOoprntp89SozkFS5BwPhbR7QCK4BGAYYCw/s1600/head-back.jpg	(from https://customize-portfolio.blogspot.com/)
09:47:26	103/103	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2015:52:36%20GMT	https://www.blogger.com/img/widgets/draggable.png	C:/My%20Web%20Sites/portfolioblogger/www.blogger.com/img/widgets/draggable.png	(from https://customize-portfolio.blogspot.com/)
09:47:27	3362/3362	---M--	200	added ('OK')	image/png	etag:%22vb88%22	http://3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/s1600-r/nth.png	C:/My%20Web%20Sites/portfolioblogger/3.bp.blogspot.com/-Yw8BIuvwoSQ/VsjkCIMoltI/AAAAAAAAC4c/s55PW6xEKn0/s1600-r/nth.png	(from https://customize-portfolio.blogspot.com/)
09:47:27	1/1	---MC-	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2004:17:27%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=1719790006368547322&zx=093725b1-60a9-4f4e-af8d-d13f07fa4e41	C:/My%20Web%20Sites/portfolioblogger/www.blogger.com/dyn-css/authorization1857.css	(from https://customize-portfolio.blogspot.com/)
09:47:30	353296/353296	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:29%20GMT	https://customize-portfolio.blogspot.com/publication/multirat/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/publication/multirat/index.b.delayed	(from https://customize-portfolio.blogspot.com/)
09:47:31	353320/353320	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Mar%202023%2004:17:31%20GMT	https://customize-portfolio.blogspot.com/authors/joanes-grandjean/index.html	C:/My%20Web%20Sites/portfolioblogger/customize-portfolio.blogspot.com/authors/joanes-grandjean/index.c.delayed	(from https://customize-portfolio.blogspot.com/)
